artist,title_en,title_cn,title_jp,title_kr,place_en,place_cn,place_jp,place_kr
ESTi,MAY be happy,,,,Main theme,主旋律,メインテーマ,메인테마
DINY,MAY be happy (summer ver.),,,,Main theme,主旋律,メインテーマ（summer.ver）,메인테마
silhouetti,A courageous step,勇敢的一步,勇気ある一歩,용기있는 한걸음,Beginner training center,新手修炼场,チュートリアル,초보자 수련장
ESTi,Belos,,,,Belos,贝罗斯,ベロス,벨로스
DINY,Where am I,,,,Shop,商店,各ショップ内1,상점
ESTi,viridianscape,,,,Forest Area,山林地带,山林地帯,산림지대
DINY,Coal mine,,,,Forest Coal mine,山林矿场,山林炭鉱,산림 탄광
ESTi,Smile of Sunshine,,,,Pluto Temple,普鲁顿神殿,プルトン神殿,플루톤 신전
DINY,Where am I (arranged ver),,,,Shop,商店,各ショップ内2,상점
ESTi,Elias (past),Elias (过去),Elias (過去),Elias (과거),Elias,艾丽娅斯,エリアス（旧）,엘리아스
DINY,Elias palace,,,,Elias Royal Palace,艾丽娅斯王宫,エリアス王宮,엘리아스 왕궁
silhouetti,Gambling without Luck,,,,Underground waterway,下水道,地下水路,지하수로
ESTi,Iris,,,,Iris theme,爱丽丝的主题曲,イリスのテーマ,이리스 테마
DINY,Gypsy's carriage,,,,Traveler's resting place,旅行者休憩地,山岳憩い場,여행자의 휴식처
ESTi,Green Green,,,,Field,平原地带,野原地帯,들판 지대
ESTi,Green Green Blue Blue,,,,Red sorghum field,红高粱田,赤いさとうきび畑,붉은 수수밭
DINY,OX QUIZ,,,,OX QUIZ,OX测验,トキメキ広場,ox퀴즈
be,Shanghai Runner,,,,Mountain range,山岳地带,山岳地帯,산악지대
ESTi,ESP Overload,,,,Dungeon,地下城,ボス戦,던전
DINY,Snowfield,,,,Snowy field,雪原,雪原,설원
ESTi,Earth Unlimited,,,,Arcadia,阿尔卡帝亚,アルカディア,아르카디아
be,Wind from the Far East,,,,Yonggyeong,上京,龍京,용경
ESTi,AKAI ITO,,,,Cherry tree lakeside,樱树湖畔,桜木の湖,벚나무 호숫가
